# gate_summary -- Part 1 (pro replays through the sim), 6639 scored plays from 211 replays
side 1 (blue = icebow player) plays: 5825; side 0: 814
plays with a recognised threat (per-card radii): 5463 / 6639

## A. per card x term: pro tile vs the policy's LOCKED tile (strict >, tie, <), median rank of the pro tile among 1 + N candidates (N = n_cands column)
   (rank 1 = no candidate strictly better; `tie1` = fraction of plays where the pro tile is rank 1 but tied with >= 1 candidate;
    `n_active` = plays where the term is non-zero for the pro tile OR the locked tile OR any candidate is beaten -- i.e. the term applies)

### BLUE side (icebow player)

[tesla] n=807  threat present 733/807  top threats: [('-', 74), ('knight', 43), ('baby_dragon', 30), ('royal_hogs', 29)]
term                 mode     n  pro>lock    tie  pro<lock  medrank  rank1   tie1 n_active mean_pro mean_lock
p6_siege             pc     425     0.000  1.000     0.000      1.0  1.000  1.000        0    0.000     0.000
p6_siege             ra     425     0.000  1.000     0.000      1.0  1.000  1.000        0    0.000     0.000
p7_fragility         pc     425     0.000  1.000     0.000      1.0  1.000  1.000        0    0.000     0.000
p7_fragility         ra     425     0.000  1.000     0.000      1.0  1.000  1.000        0    0.000     0.000
sum                  pc     425     0.689  0.019     0.292      8.0  0.169  0.012      425    1.215     0.836
sum                  ra     425     0.689  0.019     0.292      8.0  0.169  0.012      425    1.215     0.836

[the-log] n=866  threat present 717/866  top threats: [('-', 149), ('knight', 47), ('royal_hogs', 39), ('goblinstein', 37)]
term                 mode     n  pro>lock    tie  pro<lock  medrank  rank1   tie1 n_active mean_pro mean_lock
p1_pull_band         pc     866     0.000  1.000     0.000      1.0  1.000  1.000        0    0.000     0.000
p1_pull_band         ra     866     0.000  1.000     0.000      1.0  1.000  1.000        0    0.000     0.000
p1_close_penalty     pc     866     0.000  1.000     0.000      1.0  1.000  1.000        0    0.000     0.000
p1_close_penalty     ra     866     0.000  1.000     0.000      1.0  1.000  1.000        0    0.000     0.000
p2_cover             pc     866     0.082  0.551     0.367      9.0  0.088  0.088      846    0.396     0.432
p2_cover             ra     866     0.082  0.551     0.367      9.0  0.088  0.088      846    0.396     0.432
p3_intercept         pc     866     0.000  1.000     0.000      1.0  1.000  1.000        0    0.000     0.000
p3_intercept         ra     866     0.000  1.000     0.000      1.0  1.000  1.000        0    0.000     0.000
p4_spell_frac        pc     866     0.300  0.645     0.054      1.0  0.585  0.544      558    0.230     0.072
p4_spell_frac        ra     866     0.300  0.645     0.054      1.0  0.585  0.544      558    0.230     0.072
p4_nado              pc     866     0.000  1.000     0.000      1.0  1.000  1.000        0    0.000     0.000
p4_nado              ra     866     0.000  1.000     0.000      1.0  1.000  1.000        0    0.000     0.000
p4_king_activation   pc     866     0.000  1.000     0.000      1.0  1.000  1.000        0    0.000     0.000
p4_king_activation   ra     866     0.000  1.000     0.000      1.0  1.000  1.000        0    0.000     0.000
