[50/211] 00VYPLPJRYRY {'tag': '00VYPLPJRYRY', 'error': None, 'crowns': [1, 0], 'expected': [0, 1], 'crowns_match': False, 'winner_match': False, 'accepted': 61, 'rejected': 0, 'delays': 1, 't': 180.1, 'secs': 0.15}
[51/211] 020YPYL2LVU9 {'tag': '020YPYL2LVU9', 'error': None, 'crowns': [1, 0], 'expected': [1, 0], 'crowns_match': True, 'winner_match': True, 'accepted': 72, 'rejected': 0, 'delays': 5, 't': 236.2, 'secs': 0.22}
[52/211] 020YPYL80RJY {'tag': '020YPYL80RJY', 'error': None, 'crowns': [1, 0], 'expected': [1, 0], 'crowns_match': True, 'winner_match': True, 'accepted': 48, 'rejected': 0, 'delays': 1, 't': 180.1, 'secs': 0.19}
[53/211] 020YPYL89Y8Y {'tag': '020YPYL89Y8Y', 'error': None, 'crowns': [1, 0], 'expected': [0, 1], 'crowns_match': False, 'winner_match': False, 'accepted': 51, 'rejected': 0, 'delays': 2, 't': 180.1, 'secs': 0.16}
[54/211] 020YPYL9CYUL {'tag': '020YPYL9CYUL', 'error': None, 'crowns': [1, 0], 'expected': [1, 0], 'crowns_match': True, 'winner_match': True, 'accepted': 47, 'rejected': 0, 'delays': 0, 't': 180.1, 'secs': 0.18}
[55/211] 020YPYL9R08C {'tag': '020YPYL9R08C', 'error': None, 'crowns': [3, 0], 'expected': [3, 0], 'crowns_match': True, 'winner_match': True, 'accepted': 22, 'rejected': 0, 'delays': 0, 't': 119.0, 'secs': 0.12}
[56/211] 020YPYL9VC0C {'tag': '020YPYL9VC0C', 'error': None, 'crowns': [0, 1], 'expected': [1, 0], 'crowns_match': False, 'winner_match': False, 'accepted': 83, 'rejected': 0, 'delays': 20, 't': 240.1, 'secs': 0.26}
[57/211] 020YPYLLQUV0 {'tag': '020YPYLLQUV0', 'error': None, 'crowns': [3, 0], 'expected': [0, 1], 'crowns_match': False, 'winner_match': False, 'accepted': 47, 'rejected': 1, 'delays': 0, 't': 172.1, 'secs': 0.21}
[58/211] 020YPYLP8YR0 {'tag': '020YPYLP8YR0', 'error': None, 'crowns': [2, 0], 'expected': [0, 1], 'crowns_match': False, 'winner_match': False, 'accepted': 50, 'rejected': 0, 'delays': 4, 't': 180.1, 'secs': 0.22}
[59/211] 020YPYLPPCPQ {'tag': '020YPYLPPCPQ', 'error': None, 'crowns': [2, 0], 'expected': [0, 1], 'crowns_match': False, 'winner_match': False, 'accepted': 63, 'rejected': 0, 'delays': 0, 't': 180.1, 'secs': 0.17}
