batch: 198 tags, 0 already done, port 37032
[116/198] a4a756d053144ad1a45fa1d16660889c acc 48/48 rej {} crowns [2, 1] exp [0, 3] match=False term=native_tiebreak_hp_drain tick 6096 (last play 3178) 8.31s
[117/198] 37328c54d0714d1e9b84e6b22174ccac acc 62/62 rej {} crowns [0, 1] exp [0, 1] match=True term=native_logic_clock_stopped tick 3681 (last play 3521) 6.58s
[118/198] a18ca16bc1694f0f87a4e95d37b3b7a3 acc 56/59 rej {'native_rejected': 3} crowns [2, 0] exp [0, 1] match=False term=native_logic_clock_stopped tick 3681 (last play 5961) 6.01s
[119/198] c64b7495e052456e9f7b088ad1c1e75f acc 135/135 rej {} crowns [0, 1] exp [0, 1] match=True term=native_tiebreak_hp_drain tick 6139 (last play 5963) 11.03s
[120/198] cd6053c4ae3442579d5216eede9e0284 acc 51/51 rej {} crowns [1, 2] exp [1, 0] match=False term=native_tiebreak_hp_drain tick 6152 (last play 3511) 8.5s
[121/198] d32b56e44d12441bae536f3af922a611 acc 86/86 rej {} crowns [1, 2] exp [0, 1] match=False term=native_tiebreak_hp_drain tick 6094 (last play 4495) 9.35s
[122/198] 4cf13c20ddf4422bb756be2b96b74912 acc 96/96 rej {} crowns [2, 1] exp [0, 1] match=False term=native_tiebreak_hp_drain tick 6136 (last play 4828) 10.41s
[123/198] 5483d6e73799411a844511f51d8835d4 acc 84/86 rej {'native_rejected': 2} crowns [1, 0] exp [1, 0] match=True term=native_logic_clock_stopped tick 4769 (last play 5909) 9.05s
[124/198] 5e097db8013c4d9b8a8304d560b2da7d acc 66/66 rej {} crowns [1, 0] exp [1, 0] match=True term=native_logic_clock_stopped tick 3777 (last play 5973) 7.03s
[125/198] e7926cd37f4148a3bfe87b5eb0f00e75 acc 145/145 rej {} crowns [1, 0] exp [1, 0] match=True term=native_tiebreak_hp_drain tick 6139 (last play 5975) 11.28s
[126/198] e56d54e1105245f0ba457c5c5b40a0f8 acc 59/59 rej {} crowns [0, 1] exp [0, 1] match=True term=native_logic_clock_stopped tick 3681 (last play 3496) 6.13s
[127/198] 5a418a57cc424173a2a1472caaebf377 acc 138/138 rej {} crowns [0, 1] exp [0, 1] match=True term=native_tiebreak_hp_drain tick 6130 (last play 5924) 11.24s
[128/198] e953d7009eb84e4187700e252741a71b acc 119/119 rej {} crowns [1, 0] exp [1, 0] match=True term=native_logic_clock_stopped tick 5742 (last play 5566) 10.12s
[129/198] 5669ae4882054e7086ed79df3baadf3e acc 54/54 rej {} crowns [0, 1] exp [0, 1] match=True term=native_logic_clock_stopped tick 3681 (last play 3522) 6.37s
[130/198] b9579cd0a25744938b1482dec038ceed acc 110/111 rej {'native_rejected': 1} crowns [1, 0] exp [0, 1] match=False term=native_logic_clock_stopped tick 5778 (last play 5899) 9.94s
[131/198] 5a12b506ff5a4636bef6a7e24d8e6bfd acc 51/54 rej {'native_rejected': 3} crowns [2, 3] exp [3, 1] match=False term=native_logic_clock_stopped tick 3235 (last play 3332) 5.62s
[132/198] 4a0b1b4596a74992a870283a758c3f21 acc 128/128 rej {} crowns [2, 1] exp [0, 1] match=False term=native_tiebreak_hp_drain tick 6147 (last play 5914) 11.18s
[133/198] d54ca7721e4e41859e961928d111f647 acc 136/136 rej {} crowns [1, 0] exp [1, 0] match=True term=native_tiebreak_hp_drain tick 6099 (last play 5756) 11.5s
[134/198] ce4e21bf481f4d0bbeb036152681f1b5 acc 57/57 rej {} crowns [1, 0] exp [1, 0] match=True term=native_logic_clock_stopped tick 3754 (last play 3582) 6.37s
[135/198] 88dd0e2e595546fe91885da002bafdeb acc 144/149 rej {'native_rejected': 4, 'card_not_in_hand': 1} crowns [1, 0] exp [1, 0] match=True term=native_logic_clock_stopped tick 5956 (last play 5965) 11.48s
[136/198] 02711899e97743e0a6101d692c19c09e acc 48/58 rej {'native_rejected': 5, 'card_not_in_hand': 5} crowns [1, 0] exp [1, 2] match=False term=native_logic_clock_stopped tick 3681 (last play 5056) 7.61s
[137/198] 3763380d76d04a51acdca83e43b07685 acc 87/87 rej {} crowns [1, 0] exp [1, 0] match=True term=native_logic_clock_stopped tick 4693 (last play 4457) 8.59s
[138/198] 13d0d707fc1542ada4f60a7ad8630841 acc 82/82 rej {} crowns [0, 1] exp [0, 1] match=True term=native_logic_clock_stopped tick 4751 (last play 5249) 8.73s
[139/198] a993eaacb9ba4a2e8a40b36c2fe4e0fd acc 66/69 rej {'native_rejected': 1, 'card_not_in_hand': 2} crowns [0, 1] exp [1, 0] match=False term=native_logic_clock_stopped tick 3681 (last play 5868) 6.56s
[140/198] bff767a79bc648f88f9c99f1075b89bc acc 54/55 rej {'native_rejected': 1} crowns [0, 2] exp [1, 2] match=False term=native_logic_clock_stopped tick 3681 (last play 3754) 6.25s
[141/198] ccafbe14c4504dc8bb403e12d48a21ad acc 57/58 rej {'native_rejected': 1} crowns [0, 1] exp [0, 1] match=True term=native_logic_clock_stopped tick 3681 (last play 3691) 6.45s
[142/198] bb0a9a92d2494558b3f10bbd95f13ec6 acc 65/65 rej {} crowns [0, 1] exp [0, 1] match=True term=native_logic_clock_stopped tick 3681 (last play 4221) 6.72s
[143/198] 6d26e99078a24ea5a26e1e53f5d4171a acc 91/92 rej {'native_rejected': 1} crowns [0, 1] exp [0, 1] match=True term=native_logic_clock_stopped tick 4429 (last play 4353) 8.74s
[144/198] 3170429783514a1cb86061ad3e00a006 acc 21/21 rej {} crowns [3, 0] exp [3, 0] match=True term=native_logic_clock_stopped tick 2161 (last play 1843) 3.52s
[145/198] 3cb45b4e4ef14ccfa83483f7f2a30f26 acc 52/53 rej {'native_rejected': 1} crowns [1, 0] exp [1, 0] match=True term=native_logic_clock_stopped tick 3894 (last play 4861) 6.52s
